Name,Symbol,Price Usd,volume 24h,Volume 30d,Market Cap,Dominance,Year Till Date Price Change Percentage,CMC Rank,Market Pair Count,Circulating Supply,Total Supply,Last Updated
Ontology,ONT,0.244265669,22389942.98,349790952.2,213793410.4,0.0191,59.0257,159,178,875249524,1000000000,2023-02-18T05:11:00.000Z
Hive,HIVE,0.459432985,9146409.196,759687981,212340897.6,0.019,76.3109,160,38,462180350,462180350,2023-02-18T05:11:00.000Z
IOST,IOST,0.011072209,8805540.918,188725965.6,207148786.5,0.0185,59.9969,161,114,18708894189,18708894189,2023-02-18T05:11:00.000Z
SafePal,SFP,0.551838148,8202176.842,4295196233,203996096.6,0.0182,38.4363,162,104,369666536.3,500000000,2023-02-18T05:11:00.000Z
Amp,AMP,0.004806325,5280330.371,385366584.5,202960050.9,0.0181,55.4747,163,93,42227702186,99213408535,2023-02-18T05:11:00.000Z
DAO Maker,DAO,1.404652377,4585349.856,115528716.3,202189217.8,0.0181,69.5347,164,58,143942530.6,274810687,2023-02-18T05:11:00.000Z
Biconomy,BICO,0.410799715,7617476.916,280276557,197554449.6,0.0177,52.0913,165,73,480902109.7,1000000000,2023-02-18T05:11:00.000Z
Stargate Finance,STG,1.213524154,132381118.5,4771299141,192103978.3,0.0172,235.2872,166,143,158302558.4,1000000000,2023-02-18T05:11:00.000Z
BORA,BORA,0.20700619,9140921.365,931554698.8,191998241.7,0.0172,95.4631,167,16,927500000,1205750000,2023-02-18T05:11:00.000Z
MetisDAO,METIS,42.74745122,11057614.47,381090599.4,190145586.9,0.017,163.2758,168,106,4448115.184,5410000.51,2023-02-18T05:11:00.000Z
Illuvium,ILV,85.86547713,27636424.43,822459537,189296410,0.0169,123.2228,169,90,2204569.477,7484845.374,2023-02-18T05:11:00.000Z
Horizen,ZEN,14.14593389,43649961.51,3346818359,189268705.4,0.0169,50.3643,170,94,13379725,13379725,2023-02-18T05:11:00.000Z
Solar,SXP,0.339029118,18593992.42,9745717591,188216658.7,0.0168,67.5467,171,150,555163697.3,555163697.3,2023-02-18T05:11:00.000Z
WAX,WAXP,0.078522679,9703462.475,457991719.5,185957864,0.0166,86.3963,172,64,2368205815,3960913516,2023-02-18T05:11:00.000Z
Storj,STORJ,0.446843792,129962230.8,1733040647,184518389.4,0.0165,79.2828,173,137,412937122.1,424999998,2023-02-18T05:11:00.000Z
Polymath,POLY,0.195879135,1689329.68,69071312.5,181187889.4,0.0162,35.9933,174,82,924998413,1000000000,2023-02-18T05:11:00.000Z
Nervos Network,CKB,0.00446349,8121717.707,612079734.7,177197522.9,0.0158,92.7146,175,59,39699321896,40218280223,2023-02-18T05:11:00.000Z
DigiByte,DGB,0.011086641,7571537.266,131589917.4,177190059.2,0.0158,41.0857,176,117,15982303652,16027188494,2023-02-18T05:11:00.000Z
Everscale,EVER,0.099095748,2338265.598,102856058.8,172029724.2,0.0154,289.9648,177,29,1735995006,2049945261,2023-02-18T05:11:00.000Z
iExec RLC,RLC,2.108647744,8958149.788,261189856.3,170800013.9,0.0153,80.0673,178,89,80999784.99,86999784.99,2023-02-18T05:11:00.000Z
Keep Network,KEEP,0.193879118,844383.04,23071690.46,166883829.9,0.0149,155.7187,179,67,860762270.4,999848780.8,2023-02-18T05:11:00.000Z
Toko Token,TKO,0.324384954,8670508.526,135675238.2,161479194.7,0.0144,41.9758,180,58,497801123.7,500000000,2023-02-18T05:11:00.000Z
Celer Network,CELR,0.022442224,13750118.02,2119668279,159014114.5,0.0142,133.999,181,110,7085488367,10000000000,2023-02-18T05:11:00.000Z
Syscoin,SYS,0.209772889,3521190.108,1379877818,158078918.7,0.0141,110.0196,182,37,753571730.6,753571730.6,2023-02-18T05:11:00.000Z
